# id url x1 y1 x2 y2 resolution fps timeDelay
1 https://www.youtube.com/watch?v=5hHelJALhEo 178 44 1890 1014 1920x1080 30 0
2 https://www.youtube.com/watch?v=QF-wy7ytETs 20 54 1064 638 1280x720 30 0
3 https://www.youtube.com/watch?v=ztsu7gjWif0 3 103 1085 713 1280x720 30 0 0
4 https://www.youtube.com/watch?v=7yihZkFqFrQ 249 248 1722 1079 1920x1080 30 0
5 https://www.youtube.com/watch?v=gmePhJi_QbY 96 33 1919 1061 1920x1080 30 -9
# 6 https://www.youtube.com/watch?v=Rc2uhcrLqMI 0 0 1920 1080 1920x1080 30 0
# 7 https://www.youtube.com/watch?v=quCZLnE3zjg 0 0 1920 1080 1920x1080 30 0
8 https://www.youtube.com/watch?v=5yVw6mkzIow 281 102 1841 982 1920x1080 30 0
9 https://www.youtube.com/watch?v=G05wmWFDtSo 164 110 1784 1026 1920x1080 30 0
10 https://www.youtube.com/watch?v=JMcRyXHgmfw 0 0 1920 1080 1920x1080 30 0
11 https://www.youtube.com/watch?v=Dsf2OfaqRL8 56 89 1790 1065 1920x1080 30 0
12 https://www.youtube.com/watch?v=Dtxk0GfdIpE 71 120 1766 1080 1920x1080 30 0
13 https://www.youtube.com/watch?v=XLn4kO3CmUY 329 75 1899 963 1920x1080 30 0
14 https://www.youtube.com/watch?v=lsoDJ7SqOAk 93 123 1754 1061 1920x1080 30 0
15 https://www.youtube.com/watch?v=EKEQoks_TZY 234 134 1700 960 1920x1080 30 0
16 https://www.youtube.com/watch?v=LJ5wabMQ4Vk 3 83 1770 1079 1920x1080 30 0
17 
18 https://www.youtube.com/watch?v=kT8ZldoxMgo 53 95 1646 992 1920x1080 30 0
19 https://www.youtube.com/watch?v=-WoSf4V9bD8 146 69 1829 1020 1920x1080 30 0
20 https://www.youtube.com/watch?v=KXICYduuYOM 5 153 882 650 1280x720 30 -7
21 https://www.youtube.com/watch?v=vyvB1-B8olU 204 86 1821 1001 1920x1080 30 -2
22 https://www.youtube.com/watch?v=Ntt1wwgCEOQ 299 183 1746 1000 1920x1080 30 -7
23 https://www.youtube.com/watch?v=tpXPYqpTSH0 71 134 1743 1077 1920x1080 30 +6
24 https://www.youtube.com/watch?v=DQy136nt-14 0 0 1280 720 1280x720 30 -1
25 https://www.youtube.com/watch?v=z_mlibCfgFI 101 32 1832 1007 1920x1080 30 +5
26 https://www.youtube.com/watch?v=-SLSZnQUoRY 0 0 1920 1080 1920x1080 30 -10
# 27 https://www.youtube.com/watch?v=Y3l9OO8_w84 0 0 1920 1080 1920x1080 30 0
28 https://www.youtube.com/watch?v=8ySM57gHETU 0 0 1920 1080 1920x1080 30 -1
29 https://www.youtube.com/watch?v=pxmN4Owqdmk 0 0 1920 1080 1920x1080 30 -1
30 https://www.youtube.com/watch?v=cqiHNzgIBbg 0 0 1920 1080 1920x1080 30 -1
31 https://www.youtube.com/watch?v=pTcdr5grL2o 0 0 1920 1080 1920x1080 30 0
32 https://www.youtube.com/watch?v=LqOpCr-_XjY 0 0 1920 1080 1920x1080 30 0
33 https://www.youtube.com/watch?v=-7cADyjUH_E 0 0 1920 1080 1920x1080 30 0
# 34
35 https://www.youtube.com/watch?v=LH87Aep4aic 7 104 1085 715 1280x720 30 0
36 https://www.youtube.com/watch?v=H_IOpKcdLRY 84 74 1865 1080 1920x1080 30 0
37 https://www.youtube.com/watch?v=8tAwKG1s9tg 282 153 1916 1080 1920x1080 30 0
